curve,tag,updates_million,value
PIRL lineage to mixedHJB 15M,Loss/HJB,3.3500000,3.37902212
PIRL lineage to mixedHJB 15M,Loss/HJB,3.3700000,3.32662368
PIRL lineage to mixedHJB 15M,Loss/HJB,3.3900000,3.33338242
PIRL lineage to mixedHJB 15M,Loss/HJB,3.4100000,3.02610397
PIRL lineage to mixedHJB 15M,Loss/HJB,3.4300000,3.20250235
PIRL lineage to mixedHJB 15M,Loss/HJB,3.4500000,2.87561255
PIRL lineage to mixedHJB 15M,Loss/HJB,3.4700000,3.42594619
PIRL lineage to mixedHJB 15M,Loss/HJB,3.4900000,3.57105045
PIRL lineage to mixedHJB 15M,Loss/HJB,3.5100000,3.48218174
PIRL lineage to mixedHJB 15M,Loss/HJB,3.5300000,4.10947685
PIRL lineage to mixedHJB 15M,Loss/HJB,3.5500000,4.75752649
PIRL lineage to mixedHJB 15M,Loss/HJB,3.5700000,4.35799518
PIRL lineage to mixedHJB 15M,Loss/HJB,3.5900000,4.4638576
PIRL lineage to mixedHJB 15M,Loss/HJB,3.6100000,4.62214847
PIRL lineage to mixedHJB 15M,Loss/HJB,3.6300000,4.53705211
PIRL lineage to mixedHJB 15M,Loss/HJB,3.6500000,4.22327647
PIRL lineage to mixedHJB 15M,Loss/HJB,3.6700000,4.19351716
PIRL lineage to mixedHJB 15M,Loss/HJB,3.6900000,4.54485135
PIRL lineage to mixedHJB 15M,Loss/HJB,3.7100000,4.86143441
PIRL lineage to mixedHJB 15M,Loss/HJB,3.7300000,4.2481916
PIRL lineage to mixedHJB 15M,Loss/HJB,3.7500000,4.39634318
PIRL lineage to mixedHJB 15M,Loss/HJB,3.7700000,4.35512695
PIRL lineage to mixedHJB 15M,Loss/HJB,3.7900000,4.5144556
PIRL lineage to mixedHJB 15M,Loss/HJB,3.8100000,4.76605434
PIRL lineage to mixedHJB 15M,Loss/HJB,3.8300000,4.95738716
PIRL lineage to mixedHJB 15M,Loss/HJB,3.8500000,4.86092625
PIRL lineage to mixedHJB 15M,Loss/HJB,3.8700000,5.09431839
PIRL lineage to mixedHJB 15M,Loss/HJB,3.8900000,4.67504616
PIRL lineage to mixedHJB 15M,Loss/HJB,3.9100000,4.40138292
PIRL lineage to mixedHJB 15M,Loss/HJB,3.9300000,4.6291379
PIRL lineage to mixedHJB 15M,Loss/HJB,3.9500000,4.21479597
PIRL lineage to mixedHJB 15M,Loss/HJB,3.9700000,4.42215652
PIRL lineage to mixedHJB 15M,Loss/HJB,3.9900000,4.20280371
PIRL lineage to mixedHJB 15M,Loss/HJB,4.0100000,4.20985374
PIRL lineage to mixedHJB 15M,Loss/HJB,4.0300000,3.75884161
PIRL lineage to mixedHJB 15M,Loss/HJB,4.0500000,4.16322927
PIRL lineage to mixedHJB 15M,Loss/HJB,4.0700000,3.71523905
PIRL lineage to mixedHJB 15M,Loss/HJB,4.0900000,4.06273088
PIRL lineage to mixedHJB 15M,Loss/HJB,4.1100000,4.13910608
PIRL lineage to mixedHJB 15M,Loss/HJB,4.1300000,4.61503763
PIRL lineage to mixedHJB 15M,Loss/HJB,4.1500000,4.59233656
PIRL lineage to mixedHJB 15M,Loss/HJB,4.1700000,4.86553965
PIRL lineage to mixedHJB 15M,Loss/HJB,4.1900000,4.34533343
PIRL lineage to mixedHJB 15M,Loss/HJB,4.2100000,4.49395738
PIRL lineage to mixedHJB 15M,Loss/HJB,4.2300000,4.36276641
PIRL lineage to mixedHJB 15M,Loss/HJB,4.2500000,5.01849723
PIRL lineage to mixedHJB 15M,Loss/HJB,4.2700000,5.15496631
PIRL lineage to mixedHJB 15M,Loss/HJB,4.2900000,5.39235764
PIRL lineage to mixedHJB 15M,Loss/HJB,4.3100000,5.27160196
PIRL lineage to mixedHJB 15M,Loss/HJB,4.3300000,5.02824183
PIRL lineage to mixedHJB 15M,Loss/HJB,4.3500000,4.525179
PIRL lineage to mixedHJB 15M,Loss/HJB,4.3700000,5.23253717
PIRL lineage to mixedHJB 15M,Loss/HJB,4.3900000,5.2123827
PIRL lineage to mixedHJB 15M,Loss/HJB,4.4100000,4.7542295
PIRL lineage to mixedHJB 15M,Loss/HJB,4.4300000,5.19797826
PIRL lineage to mixedHJB 15M,Loss/HJB,4.4500000,4.94731565
PIRL lineage to mixedHJB 15M,Loss/HJB,4.4700000,4.11467757
PIRL lineage to mixedHJB 15M,Loss/HJB,4.4900000,5.13049493
PIRL lineage to mixedHJB 15M,Loss/HJB,4.5100000,5.68314829
PIRL lineage to mixedHJB 15M,Loss/HJB,4.5300000,5.16009741
PIRL lineage to mixedHJB 15M,Loss/HJB,4.5500000,5.38093891
PIRL lineage to mixedHJB 15M,Loss/HJB,4.5700000,5.60233936
PIRL lineage to mixedHJB 15M,Loss/HJB,4.5900000,4.96240683
PIRL lineage to mixedHJB 15M,Loss/HJB,4.6100000,4.80408964
PIRL lineage to mixedHJB 15M,Loss/HJB,4.6300000,5.0505331
PIRL lineage to mixedHJB 15M,Loss/HJB,4.6500000,4.8089097
PIRL lineage to mixedHJB 15M,Loss/HJB,4.6700000,4.95226774
PIRL lineage to mixedHJB 15M,Loss/HJB,4.6900000,5.16886454
PIRL lineage to mixedHJB 15M,Loss/HJB,4.7100000,5.3470911
PIRL lineage to mixedHJB 15M,Loss/HJB,4.7300000,5.71440516
PIRL lineage to mixedHJB 15M,Loss/HJB,4.7500000,5.8064971
PIRL lineage to mixedHJB 15M,Loss/HJB,4.7700000,5.95991936
PIRL lineage to mixedHJB 15M,Loss/HJB,4.7900000,5.79048052
PIRL lineage to mixedHJB 15M,Loss/HJB,4.8100000,5.79888744
PIRL lineage to mixedHJB 15M,Loss/HJB,4.8300000,6.33775043
PIRL lineage to mixedHJB 15M,Loss/HJB,4.8500000,6.56220818
PIRL lineage to mixedHJB 15M,Loss/HJB,4.8700000,6.28548985
PIRL lineage to mixedHJB 15M,Loss/HJB,4.8900000,6.43866501
PIRL lineage to mixedHJB 15M,Loss/HJB,4.9100000,6.40085649
PIRL lineage to mixedHJB 15M,Loss/HJB,4.9300000,5.58297682
PIRL lineage to mixedHJB 15M,Loss/HJB,4.9500000,5.39071903
PIRL lineage to mixedHJB 15M,Loss/HJB,4.9700000,5.21487513
PIRL lineage to mixedHJB 15M,Loss/HJB,4.9900000,4.77409039
PIRL lineage to mixedHJB 15M,Loss/HJB,5.0100000,1.30576174
PIRL lineage to mixedHJB 15M,Loss/HJB,5.0300000,1.30742505
PIRL lineage to mixedHJB 15M,Loss/HJB,5.0500000,1.21891017
PIRL lineage to mixedHJB 15M,Loss/HJB,5.0700000,1.16419857
PIRL lineage to mixedHJB 15M,Loss/HJB,5.0900000,1.42893779
PIRL lineage to mixedHJB 15M,Loss/HJB,5.1100000,1.33495054
PIRL lineage to mixedHJB 15M,Loss/HJB,5.1300000,1.37762384
PIRL lineage to mixedHJB 15M,Loss/HJB,5.1500000,1.40004987
PIRL lineage to mixedHJB 15M,Loss/HJB,5.1700000,1.38966032
PIRL lineage to mixedHJB 15M,Loss/HJB,5.1900000,1.18967458
PIRL lineage to mixedHJB 15M,Loss/HJB,5.2100000,1.29829127
PIRL lineage to mixedHJB 15M,Loss/HJB,5.2300000,1.23209459
PIRL lineage to mixedHJB 15M,Loss/HJB,5.2500000,1.27535334
PIRL lineage to mixedHJB 15M,Loss/HJB,5.2700000,1.37620435
PIRL lineage to mixedHJB 15M,Loss/HJB,5.2900000,1.32002223
PIRL lineage to mixedHJB 15M,Loss/HJB,5.3100000,1.23349721
PIRL lineage to mixedHJB 15M,Loss/HJB,5.3300000,1.21259308
PIRL lineage to mixedHJB 15M,Loss/HJB,5.3500000,1.2606514
PIRL lineage to mixedHJB 15M,Loss/HJB,5.3700000,1.0933813
PIRL lineage to mixedHJB 15M,Loss/HJB,5.3900000,1.05044435
PIRL lineage to mixedHJB 15M,Loss/HJB,5.4100000,0.926043928
PIRL lineage to mixedHJB 15M,Loss/HJB,5.4300000,0.874808991
PIRL lineage to mixedHJB 15M,Loss/HJB,5.4500000,0.818521035
PIRL lineage to mixedHJB 15M,Loss/HJB,5.4700000,0.839309502
PIRL lineage to mixedHJB 15M,Loss/HJB,5.4900000,0.762920797
PIRL lineage to mixedHJB 15M,Loss/HJB,5.5100000,0.885374629
PIRL lineage to mixedHJB 15M,Loss/HJB,5.5300000,0.827554345
PIRL lineage to mixedHJB 15M,Loss/HJB,5.5500000,0.842270589
PIRL lineage to mixedHJB 15M,Loss/HJB,5.5700000,0.867704344
